臺灣 Taiwan,#genre#
CCTV-10,http://cwc.serv00.net/Smartv.php?id=cctv10hd
CCTV-11,http://cwc.serv00.net/Smartv.php?id=cctv11
CCTV-12,http://cwc.serv00.net/Smartv.php?id=cctv12
CCTV-13,http://cwc.serv00.net/Smartv.php?id=cctv13
CCTV-14,http://cwc.serv00.net/Smartv.php?id=cctv14
CCTV-15,http://cwc.serv00.net/Smartv.php?id=cctv15
CCTV-16,http://cwc.serv00.net/Smartv.php?id=cctv16
CCTV-17,http://cwc.serv00.net/Smartv.php?id=cctv17
湖南衛視,http://cwc.serv00.net/Smartv.php?id=hunan_twn
江蘇衛視,http://cwc.serv00.net/Smartv.php?id=jiangsu_twn
深圳衛視,http://cwc.serv00.net/Smartv.php?id=shenzhen
大灣區衛視,http://cwc.serv00.net/Smartv.php?id=nanfang_twn
廣東衛視,http://cwc.serv00.net/Smartv.php?id=guangdongweishi_twn
北京衛視,http://cwc.serv00.net/Smartv.php?id=beijing
廣東珠江,http://cwc.serv00.net/Smartv.php?id=zhujiang
廣西衛視,http://cwc.serv00.net/Smartv.php?id=guangxi
湖北衛視,http://cwc.serv00.net/Smartv.php?id=hubei
四川衛視,http://cwc.serv00.net/Smartv.php?id=sichuan_twn
鳳凰衛視,http://cwc.serv00.net/Smartv.php?id=phoenixtv_hd
東方衛視,http://cwc.serv00.net/Smartv.php?id=dongfangweishi_twn
CGTN,http://cwc.serv00.net/Smartv.php?id=CGTN
鳳凰資訊,http://cwc.serv00.net/Smartv.php?id=phoenixinfo_hd
體育 Sports,#genre#
Supersports 1,http://cwc.serv00.net/Smartv.php?id=Assp1
Supersports 1(備用),http://cwc.serv00.net/Smartv.php?id=go_assp1
Supersportq 1(備用2),http://cwc.serv00.net/Smartv.php?id=Assp1_mega
Supersports 2,http://cwc.serv00.net/Smartv.php?id=Assp2
Supersports 2(備用),http://cwc.serv00.net/Smartv.php?id=go_assp2
Supersports 3,http://cwc.serv00.net/Smartv.php?id=Assp3
Supersports 3(備用),http://cwc.serv00.net/Smartv.php?id=go_assp3
Supersports 3(備用2),http://cwc.serv00.net/Smartv.php?id=Assp3_mega
Supersports 4,http://cwc.serv00.net/Smartv.php?id=Assp4_mega
Supersports 4(備用),http://cwc.serv00.net/Smartv.php?id=go_assp4
