央视IPV4,#genre#
山东卫视HD,http://220.176.159.112:8888/udp/239.252.219.228:5140
山西卫视,http://220.176.159.112:8888/udp/239.252.219.27:5140
广东卫视HD,http://220.176.159.112:8888/udp/239.252.219.213:5140
广西卫视HD,http://220.176.159.112:8888/udp/239.252.219.183:5140
新疆卫视,http://220.176.159.112:8888/udp/239.252.219.100:5140
江苏卫视HD,http://220.176.159.112:8888/udp/239.252.219.214:5140
江西卫视HD,http://220.176.159.112:8888/udp/239.252.220.63:5140
河北卫视HD,http://220.176.159.112:8888/udp/239.252.220.154:5140
河南卫视HD,http://220.176.159.112:8888/udp/239.252.220.189:5140
浙江卫视HD,http://220.176.159.112:8888/udp/239.252.219.210:5140
海南卫视HD,http://220.176.159.112:8888/udp/239.252.219.178:5140
深圳卫视HD,http://220.176.159.112:8888/udp/239.252.219.212:5140
湖北卫视HD,http://220.176.159.112:8888/udp/239.252.219.208:5140
湖南卫视HD,http://220.176.159.112:8888/udp/239.252.219.201:5140
甘肃卫视HD,http://220.176.159.112:8888/udp/239.252.219.140:5140
西藏卫视HD,http://220.176.159.112:8888/udp/239.252.219.106:5140
贵州卫视HD,http://220.176.159.112:8888/udp/239.252.220.190:5140
辽宁卫视HD,http://220.176.159.112:8888/udp/239.252.220.62:5140
重庆卫视HD,http://220.176.159.112:8888/udp/239.252.220.94:5140
陕西卫视,http://220.176.159.112:8888/udp/239.252.219.105:5140
青海卫视,http://220.176.159.112:8888/udp/239.252.219.46:5140
黑龙江卫视HD,http://220.176.159.112:8888/udp/239.252.219.211:5140

好好生活IPV4,#genre#
东方财经HD,http://220.176.159.112:8888/udp/239.252.219.57:5140
中华特产,http://220.176.159.112:8888/udp/239.252.220.213:5140
乐游,http://220.176.159.112:8888/udp/239.252.219.141:5140
书画,http://220.176.159.112:8888/udp/239.252.219.99:5140
优优宝贝,http://220.176.159.112:8888/udp/239.252.220.219:5140
台球,http://220.176.159.112:8888/udp/239.252.220.201:5140
嘉佳卡通,http://220.176.159.112:8888/udp/239.252.219.92:5140
四海钓鱼,http://220.176.159.112:8888/udp/239.252.220.214:5140
国学,http://220.176.159.112:8888/udp/239.252.219.162:5140
国学,http://220.176.159.112:8888/udp/239.252.220.157:5140
地理,http://220.176.159.112:8888/udp/239.252.220.207:5140
墨宝,http://220.176.159.112:8888/udp/239.252.219.168:5140
好学生,http://220.176.159.112:8888/udp/239.252.220.90:5140
家庭影院,http://220.176.159.112:8888/udp/239.252.220.86:5140
家庭理财,http://220.176.159.112:8888/udp/239.252.220.217:5140
少儿动画,http://220.176.159.112:8888/udp/239.252.220.136:5140
山东教育,http://220.176.159.112:8888/udp/239.252.219.74:5140
快乐垂钓HD,http://220.176.159.112:8888/udp/239.252.220.177:5140
戏曲,http://220.176.159.112:8888/udp/239.252.219.163:5140
收视指南,http://220.176.159.112:8888/udp/239.252.220.144:5140
文物宝库HD,http://220.176.159.112:8888/udp/239.252.220.158:5140
新动漫,http://220.176.159.112:8888/udp/239.252.220.132:5140
早教,http://220.176.159.112:8888/udp/239.252.219.164:5140
星影,http://220.176.159.112:8888/udp/239.252.220.210:5140
梨园HD,http://220.176.159.112:8888/udp/239.252.220.179:5140
武术,http://220.176.159.112:8888/udp/239.252.220.203:5140
武术世界HD,http://220.176.159.112:8888/udp/239.252.220.180:5140
求索记录HD,http://220.176.159.112:8888/udp/239.252.220.224:5140

江西频道IPV4,#genre#
江西公共农业频道HD,http://220.176.159.112:8888/udp/239.252.220.102:5140
江西少儿频道HD,http://220.176.159.112:8888/udp/239.252.219.113:5140
江西影视旅游频道HD,http://220.176.159.112:8888/udp/239.252.220.242:5140
江西教育频道HD,http://220.176.159.112:8888/udp/239.252.219.115:5140
江西新闻频道HD,http://220.176.159.112:8888/udp/239.252.220.100:5140
江西移动电视频道HD,http://220.176.159.112:8888/udp/239.252.220.241:5140
江西经济生活,http://220.176.159.112:8888/udp/239.252.220.110:5140
江西经济生活频道HD,http://220.176.159.112:8888/udp/239.252.219.173:5140
江西都市频道HD,http://220.176.159.112:8888/udp/239.252.220.238:5140



好好生活IPV4,#genre#
汽摩,http://220.176.159.112:8888/udp/239.252.220.181:5140
